Date,USDBRL
25/11/2010,"1,7155"
26/11/2010,"1,7296"
29/11/2010,"1,717"
30/11/2010,"1,7145"
01/12/2010,"1,7059"
02/12/2010,"1,7015"
03/12/2010,"1,6838"
06/12/2010,"1,6813"
07/12/2010,"1,677"
08/12/2010,"1,692"
09/12/2010,"1,7036"
10/12/2010,"1,705"
13/12/2010,"1,693"
14/12/2010,"1,693"
15/12/2010,"1,6989"
16/12/2010,"1,7043"
17/12/2010,"1,71"
20/12/2010,"1,7066"
21/12/2010,"1,7"
22/12/2010,"1,699"
23/12/2010,"1,6923"
24/12/2010,"1,6907"
27/12/2010,"1,685"
28/12/2010,"1,6902"
29/12/2010,"1,678"
30/12/2010,"1,662"
31/12/2010,"1,66"
03/01/2011,"1,6465"
04/01/2011,"1,6675"
05/01/2011,"1,675"
06/01/2011,"1,6859"
07/01/2011,"1,682"
10/01/2011,"1,689"
11/01/2011,"1,6416"
12/01/2011,"1,6247"
13/01/2011,"1,669"
14/01/2011,"1,6817"
17/01/2011,"1,6821"
18/01/2011,"1,6715"
19/01/2011,"1,67"
20/01/2011,"1,6352"
21/01/2011,"1,6223"
24/01/2011,"1,6705"
25/01/2011,"1,6677"
26/01/2011,"1,6183"
27/01/2011,"1,6723"
28/01/2011,"1,6812"
31/01/2011,"1,667"
01/02/2011,"1,6652"
02/02/2011,"1,6627"
03/02/2011,"1,6684"
04/02/2011,"1,6771"
07/02/2011,"1,6279"
08/02/2011,"1,6645"
09/02/2011,"1,662"
10/02/2011,"1,6641"
11/02/2011,"1,6663"
14/02/2011,"1,6665"
15/02/2011,"1,6686"
16/02/2011,"1,669"
17/02/2011,"1,662"
18/02/2011,"1,6626"
21/02/2011,"1,6675"
22/02/2011,"1,6707"
23/02/2011,"1,671"
24/02/2011,"1,6627"
25/02/2011,"1,66"
28/02/2011,"1,6588"
01/03/2011,"1,6574"
02/03/2011,"1,6542"
03/03/2011,"1,6495"
04/03/2011,"1,6436"
07/03/2011,"1,6521"
08/03/2011,"1,654"
09/03/2011,"1,6547"
10/03/2011,"1,659"
11/03/2011,"1,662"
14/03/2011,"1,6649"
15/03/2011,"1,6632"
16/03/2011,"1,676"
17/03/2011,"1,6795"
18/03/2011,"1,6682"
21/03/2011,"1,6636"
22/03/2011,"1,6593"
23/03/2011,"1,66"
24/03/2011,"1,6575"
25/03/2011,"1,6554"
28/03/2011,"1,66"
29/03/2011,"1,6559"
30/03/2011,"1,6285"
31/03/2011,"1,6272"
01/04/2011,"1,6191"
03/04/2011,"1,612"
04/04/2011,"1,6052"
05/04/2011,"1,607"
06/04/2011,"1,6147"
07/04/2011,"1,5929"
08/04/2011,"1,5737"
09/04/2011,"1,5703"
11/04/2011,"1,5771"
12/04/2011,"1,591"
13/04/2011,"1,592"
14/04/2011,"1,5785"
15/04/2011,"1,5721"
17/04/2011,"1,5686"
18/04/2011,"1,589"
19/04/2011,"1,5785"
20/04/2011,"1,569"
21/04/2011,"1,5613"
24/04/2011,"1,5586"
25/04/2011,"1,575"
26/04/2011,"1,5645"
27/04/2011,"1,5665"
28/04/2011,"1,5863"
29/04/2011,"1,57"
30/04/2011,"1,5633"
02/05/2011,"1,5765"
03/05/2011,"1,5875"
04/05/2011,"1,605"
05/05/2011,"1,625"
06/05/2011,"1,6088"
07/05/2011,"1,5994"
09/05/2011,"1,6155"
10/05/2011,"1,607"
11/05/2011,"1,6199"
12/05/2011,"1,6165"
13/05/2011,"1,6349"
15/05/2011,"1,6356"
16/05/2011,"1,6308"
17/05/2011,"1,618"
18/05/2011,"1,6113"
19/05/2011,"1,6159"
20/05/2011,"1,614"
21/05/2011,"1,6113"
23/05/2011,"1,6373"
24/05/2011,"1,6285"
25/05/2011,"1,6265"
26/05/2011,"1,6223"
27/05/2011,"1,599"
28/05/2011,"1,5943"
30/05/2011,"1,593"
31/05/2011,"1,5787"
01/06/2011,"1,592"
02/06/2011,"1,5775"
03/06/2011,"1,574"
05/06/2011,"1,5688"
06/06/2011,"1,5802"
07/06/2011,"1,577"
08/06/2011,"1,5815"
09/06/2011,"1,5869"
10/06/2011,"1,5974"
11/06/2011,"1,5948"
13/06/2011,"1,589"
14/06/2011,"1,5791"
15/06/2011,"1,597"
16/06/2011,"1,6061"
17/06/2011,"1,5955"
18/06/2011,"1,5898"
20/06/2011,"1,594"
21/06/2011,"1,5875"
22/06/2011,"1,587"
23/06/2011,"1,5905"
24/06/2011,"1,59"
25/06/2011,"1,59"
27/06/2011,"1,595"
28/06/2011,"1,578"
29/06/2011,"1,5697"
30/06/2011,"1,5614"
01/07/2011,"1,5555"
02/07/2011,"1,5488"
04/07/2011,"1,5515"
05/07/2011,"1,5637"
06/07/2011,"1,5692"
07/07/2011,"1,5545"
08/07/2011,"1,5642"
10/07/2011,"1,5618"
11/07/2011,"1,58"
12/07/2011,"1,5747"
13/07/2011,"1,5677"
14/07/2011,"1,5765"
15/07/2011,"1,5737"
16/07/2011,"1,568"
18/07/2011,"1,575"
19/07/2011,"1,565"
20/07/2011,"1,5615"
21/07/2011,"1,5523"
22/07/2011,"1,5539"
23/07/2011,"1,5539"
24/07/2011,"1,5539"
25/07/2011,"1,5441"
26/07/2011,"1,5337"
27/07/2011,"1,5631"
28/07/2011,"1,5628"
29/07/2011,"1,5494"
30/07/2011,"1,5465"
01/08/2011,"1,5578"
02/08/2011,"1,5633"
03/08/2011,"1,563"
04/08/2011,"1,5768"
05/08/2011,"1,5949"
06/08/2011,"1,593"
08/08/2011,"1,5969"
09/08/2011,"1,6282"
10/08/2011,"1,6219"
11/08/2011,"1,6233"
15/08/2011,"1,5887"
16/08/2011,"1,5841"
17/08/2011,"1,5785"
18/08/2011,"1,607"
19/08/2011,"1,5998"
20/08/2011,"1,5953"
22/08/2011,"1,6025"
23/08/2011,"1,5973"
24/08/2011,"1,6073"
25/08/2011,"1,609"
26/08/2011,"1,604"
27/08/2011,"1,6"
29/08/2011,"1,5943"
30/08/2011,"1,5865"
31/08/2011,"1,5825"
01/09/2011,"1,599"
02/09/2011,"1,6418"
03/09/2011,"1,6298"
05/09/2011,"1,6493"
06/09/2011,"1,66"
07/09/2011,"1,6535"
08/09/2011,"1,6516"
09/09/2011,"1,6795"
11/09/2011,"1,6749"
12/09/2011,"1,7035"
13/09/2011,"1,7115"
14/09/2011,"1,724"
15/09/2011,"1,7091"
16/09/2011,"1,7105"
19/09/2011,"1,7846"
20/09/2011,"1,7916"
21/09/2011,"1,8339"
22/09/2011,"1,8768"
23/09/2011,"1,859"
24/09/2011,"1,8558"
26/09/2011,"1,846"
27/09/2011,"1,802"
28/09/2011,"1,8177"
29/09/2011,"1,8277"
30/09/2011,"1,847"
03/10/2011,"1,8877"
04/10/2011,"1,8501"
05/10/2011,"1,8337"
06/10/2011,"1,8067"
07/10/2011,"1,7644"
09/10/2011,"1,7623"
10/10/2011,"1,7469"
11/10/2011,"1,7388"
12/10/2011,"1,774"
13/10/2011,"1,7431"
14/10/2011,"1,7305"
15/10/2011,"1,7307"
17/10/2011,"1,767"
18/10/2011,"1,7575"
19/10/2011,"1,7613"
20/10/2011,"1,787"
21/10/2011,"1,7713"
22/10/2011,"1,7676"
24/10/2011,"1,7493"
25/10/2011,"1,7615"
26/10/2011,"1,758"
27/10/2011,"1,709"
28/10/2011,"1,689"
31/10/2011,"1,6924"
01/11/2011,"1,742"
02/11/2011,"1,7333"
03/11/2011,"1,7315"
04/11/2011,"1,7435"
05/11/2011,"1,749"
07/11/2011,"1,7499"
08/11/2011,"1,7395"
09/11/2011,"1,7566"
10/11/2011,"1,76"
11/11/2011,"1,742"
13/11/2011,"1,7399"
14/11/2011,"1,7595"
15/11/2011,"1,7693"
16/11/2011,"1,7703"
17/11/2011,"1,7645"
